Voxel 1,Voxel 2,Voxel 3,Voxel 4,Voxel 5,Voxel 6,Voxel 7,Voxel 8,Voxel 9,Voxel 10,Voxel 11,Voxel 12,Voxel 13,Voxel 14,Voxel 15,Voxel 16,Voxel 17,Voxel 18,Voxel 19,Voxel 20,Voxel 21,Voxel 22,Voxel 23,Voxel 24,Voxel 25,Voxel 26,Voxel 27,Voxel 28,Voxel 29,Voxel 30,Voxel 31,Voxel 32,Voxel 33,Voxel 34,Voxel 35,Voxel 36,Voxel 37,Voxel 38,Voxel 39,Voxel 40,Voxel 41,Voxel 42,Voxel 43,Voxel 44,Voxel 45,Voxel 46,Voxel 47,Voxel 48,Voxel 49,Voxel 50,Voxel 51,Voxel 52,Voxel 53,Voxel 54,Voxel 55,Voxel 56,Voxel 57,Voxel 58,Voxel 59,Voxel 60,Voxel 61,Voxel 62,Voxel 63,Voxel 64,Voxel 65,Voxel 66,Voxel 67,Voxel 68,Voxel 69,Voxel 70,Voxel 71,Voxel 72,Voxel 73,Voxel 74,Voxel 75,Voxel 76,Voxel 77,Voxel 78,Voxel 79,Voxel 80,Voxel 81,Voxel 82,Voxel 83,Voxel 84,Voxel 85,Voxel 86,Voxel 87,Voxel 88,Voxel 89,Voxel 90,Voxel 91,Voxel 92,Voxel 93,Voxel 94,Voxel 95,Voxel 96,Voxel 97,Voxel 98,Voxel 99,Voxel 100,Voxel 101,Voxel 102,Voxel 103,Voxel 104,Voxel 105,Voxel 106,Voxel 107,Voxel 108,Voxel 109,Voxel 110,Voxel 111,Voxel 112,Voxel 113,Voxel 114,Voxel 115,Voxel 116,Voxel 117,Voxel 118,Voxel 119,Voxel 120,Voxel 121,Voxel 122,Voxel 123,Voxel 124,Voxel 125,Voxel 126,Voxel 127,Voxel 128,Voxel 129,Voxel 130,Voxel 131,Voxel 132,Voxel 133,Voxel 134,Voxel 135,Voxel 136,Voxel 137,Voxel 138,Voxel 139,Voxel 140,Voxel 141,Voxel 142,Voxel 143,Voxel 144,Voxel 145,Voxel 146,Voxel 147,Voxel 148,Voxel 149,Voxel 150,Voxel 151,Voxel 152,Voxel 153,Voxel 154,Voxel 155,Voxel 156,Voxel 157,Voxel 158,Voxel 159,Voxel 160,Voxel 161,Voxel 162,Voxel 163,Voxel 164,Voxel 165,Voxel 166,Voxel 167,Voxel 168,Voxel 169,Voxel 170,Voxel 171,Voxel 172,Voxel 173,Voxel 174,Voxel 175,Voxel 176,Voxel 177,Voxel 178,Voxel 179,Voxel 180,Voxel 181,Voxel 182,Voxel 183,Voxel 184,Voxel 185,Voxel 186,Voxel 187,Voxel 188,Voxel 189,Voxel 190,Voxel 191,Voxel 192,Voxel 193,Voxel 194,Voxel 195,Voxel 196,Voxel 197,Voxel 198,Voxel 199,Voxel 200,Voxel 201,Voxel 202,Voxel 203,Voxel 204,Voxel 205,Voxel 206,Voxel 207,Voxel 208,Voxel 209,Voxel 210,Voxel 211,Voxel 212,Voxel 213,Voxel 214,Voxel 215,Voxel 216,Voxel 217,Voxel 218,Voxel 219,Voxel 220,Voxel 221,Voxel 222,Voxel 223,Voxel 224,Voxel 225,Voxel 226,Voxel 227,Voxel 228,Voxel 229,Voxel 230,Voxel 231,Voxel 232,Voxel 233,Voxel 234,Voxel 235,Voxel 236,Voxel 237,Voxel 238,Voxel 239,Voxel 240,Voxel 241,Voxel 242,Voxel 243,Voxel 244,Voxel 245,Voxel 246,Voxel 247,Voxel 248,Voxel 249,Voxel 250,Voxel 251,Voxel 252,Voxel 253,Voxel 254,Voxel 255,Voxel 256,Euler
7,3,2,2,4,2,0,1,3,0,3,0,2,1,0,6,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,1,6,1
20,6,6,1,5,4,1,0,8,1,0,1,1,0,2,0,5,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,0,1,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
31,4,5,0,6,2,0,0,7,1,4,0,1,0,0,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,3,4,2,1,3,0,0,2,0,0,2,3,0,1,5,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,1,0,1,1,15,1
0,2,1,3,3,1,0,1,2,0,3,0,1,2,1,5,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,2,0,0,0,2,0,2,0,14,1
18,7,6,2,1,2,1,1,4,0,3,1,2,1,1,1,5,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2
68,4,3,1,5,0,1,0,4,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,2,4,4,1,3,1,0,5,1,0,1,3,0,2,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,2,1,0,0,0,1,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,6,4,0,3,1,0,3,3,0,2,1,2,1,1,1,1,3,2,1,3,0,0,1,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
18,3,3,4,5,1,0,1,5,1,3,0,2,1,1,5,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-2
